uniq_isos	iso_ensts	iso_ensgs	iso_ensgvs	iso_gnames	iso_descs	filtered	regulator
LOC284385	LOC284385	unmapped-none	LOC284385	LOC284385	gene	0	0
LOC284395	LOC284395	ENSG00000264515	LOC284395	LOC284395	gene	0	0
LOC284408	LOC284408	unmapped-none	LOC284408	LOC284408	gene	0	0
LOC284412	LOC284412	unmapped-none	LOC284412	LOC284412	gene	0	0
LOC284440	LOC284440	unmapped-none	LOC284440	LOC284440	gene	0	0
LOC284454	LOC284454	ENSG00000267519	LOC284454	LOC284454	gene	0	0
LOC284551	LOC284551	unmapped-none	LOC284551	LOC284551	gene	0	0
LOC284576	LOC284576	unmapped-none	LOC284576	LOC284576	gene	0	0
LOC284578	LOC284578	unmapped-none	LOC284578	LOC284578	gene	0	0
LOC284581	LOC284581	unmapped-none	LOC284581	LOC284581	gene	0	0
LOC284632	LOC284632	ENSG00000230023	LOC284632	LOC284632	gene	0	0
LOC284648	LOC284648	unmapped-none	LOC284648	LOC284648	gene	0	0
LOC284661	LOC284661	unmapped-none	LOC284661	LOC284661	gene	0	0
LOC284688	LOC284688	unmapped-none	LOC284688	LOC284688	gene	0	0
LOC284751	LOC284751	unmapped-none	LOC284751	LOC284751	gene	0	0
LOC284757	LOC284757	unmapped-none	LOC284757	LOC284757	gene	0	0
LOC284788	LOC284788	ENSG00000204684	LOC284788	LOC284788	gene	0	0
LOC284798	LOC284798	ENSG00000230725	LOC284798	LOC284798	gene	0	0
LOC284801	LOC284801	unmapped-none	LOC284801	LOC284801	gene	0	0
LOC284837	LOC284837	unmapped-none	LOC284837	LOC284837	gene	0	0
LOC284865	LOC284865	ENSG00000249923	LOC284865	LOC284865	gene	0	0
LOC284889	LOC284889	unmapped-none	LOC284889	LOC284889	gene	0	0
LOC284933	LOC284933	ENSG00000281732	LOC284933	LOC284933	gene	0	0
LOC284950	LOC284950	unmapped-none	LOC284950	LOC284950	gene	0	0
LOC284998	LOC284998	unmapped-none	LOC284998	LOC284998	gene	0	0
LOC285000	LOC285000	unmapped-none	LOC285000	LOC285000	gene	0	0
LOC285033	LOC285033	unmapped-none	LOC285033	LOC285033	gene	0	0
LOC285074	LOC285074	unmapped-none	LOC285074	LOC285074	gene	0	0
LOC285084	LOC285084	unmapped-none	LOC285084	LOC285084	gene	0	0
LOC285103	LOC285103	unmapped-none	LOC285103	LOC285103	gene	0	0
LOC285205	LOC285205	unmapped-none	LOC285205	LOC285205	gene	0	0
LOC285326	LOC285326	unmapped-none	LOC285326	LOC285326	gene	0	0
LOC285359	LOC285359	unmapped-none	LOC285359	LOC285359	gene	0	0
LOC285370	LOC285370	unmapped-none	LOC285370	LOC285370	gene	0	0
LOC285375	LOC285375	unmapped-none	LOC285375	LOC285375	gene	0	0
LOC285401	LOC285401	unmapped-none	LOC285401	LOC285401	gene	0	0
LOC285419	LOC285419	unmapped-none	LOC285419	LOC285419	gene	0	0
LOC285441	LOC285441	unmapped-none	LOC285441	LOC285441	gene	0	0
LOC285456	LOC285456	unmapped-none	LOC285456	LOC285456	gene	0	0
LOC285484	LOC285484	unmapped-none	LOC285484	LOC285484	gene	0	0
LOC285501	LOC285501	unmapped-none	LOC285501	LOC285501	gene	0	0
LOC285540	LOC285540	unmapped-none	LOC285540	LOC285540	gene	0	0
LOC285547	LOC285547	unmapped-none	LOC285547	LOC285547	gene	0	0
LOC285548	LOC285548	unmapped-none	LOC285548	LOC285548	gene	0	0
LOC285577	LOC285577	unmapped-none	LOC285577	LOC285577	gene	0	0
LOC285593	LOC285593	ENSG00000253955	LOC285593	LOC285593	gene	0	0
LOC285626	LOC285626	ENSG00000249738	LOC285626	LOC285626	gene	0	0
LOC285627	LOC285627	unmapped-none	LOC285627	LOC285627	gene	0	0
LOC285629	LOC285629	unmapped-none	LOC285629	LOC285629	gene	0	0
LOC285692	LOC285692	unmapped-none	LOC285692	LOC285692	gene	0	0
LOC285696	LOC285696	unmapped-none	LOC285696	LOC285696	gene	0	0
LOC285740	LOC285740	unmapped-none	LOC285740	LOC285740	gene	0	0
LOC285758	LOC285758	unmapped-none	LOC285758	LOC285758	gene	0	0
LOC285762	LOC285762	unmapped-none	LOC285762	LOC285762	gene	0	0
LOC285768	LOC285768	unmapped-none	LOC285768	LOC285768	gene	0	0
LOC285796	LOC285796	unmapped-none	LOC285796	LOC285796	gene	0	0
LOC285819	LOC285819	unmapped-none	LOC285819	LOC285819	gene	0	0
LOC285847	LOC285847	unmapped-none	LOC285847	LOC285847	gene	0	0
LOC285878	LOC285878	unmapped-none	LOC285878	LOC285878	gene	0	0
LOC285889	LOC285889	ENSG00000233878	LOC285889	LOC285889	gene	0	0
LOC285954	LOC285954	unmapped-none	LOC285954	LOC285954	gene	0	0
LOC285965	LOC285965	unmapped-none	LOC285965	LOC285965	gene	0	0
LOC285972	LOC285972	unmapped-none	LOC285972	LOC285972	gene	0	0
LOC286002	LOC286002	unmapped-none	LOC286002	LOC286002	gene	0	0
LOC286059	LOC286059	ENSG00000246130	LOC286059	LOC286059	gene	0	0
LOC286083	LOC286083	ENSG00000282734	LOC286083	LOC286083	gene	0	0
LOC286094	LOC286094	unmapped-none	LOC286094	LOC286094	gene	0	0
LOC286114	LOC286114	unmapped-none	LOC286114	LOC286114	gene	0	0
LOC286135	LOC286135	unmapped-none	LOC286135	LOC286135	gene	0	0
LOC286177	LOC286177	ENSG00000282027	LOC286177	LOC286177	gene	0	0
LOC286184	LOC286184	unmapped-none	LOC286184	LOC286184	gene	0	0
LOC286186	LOC286186	unmapped-none	LOC286186	LOC286186	gene	0	0
LOC286189	LOC286189	unmapped-none	LOC286189	LOC286189	gene	0	0
LOC286190	LOC286190	unmapped-none	LOC286190	LOC286190	gene	0	0
LOC286238	LOC286238	unmapped-none	LOC286238	LOC286238	gene	0	0
LOC286297	LOC286297	unmapped-none	LOC286297	LOC286297	gene	0	0
LOC286359	LOC286359	unmapped-none	LOC286359	LOC286359	gene	0	0
LOC286367	LOC286367	unmapped-none	LOC286367	LOC286367	gene	0	0
LOC286370	LOC286370	unmapped-none	LOC286370	LOC286370	gene	0	0
LOC286437	LOC286437	unmapped-none	LOC286437	LOC286437	gene	0	0
LOC286442	LOC286442	unmapped-none	LOC286442	LOC286442	gene	0	0
LOC286467	LOC286467	unmapped-none	LOC286467	LOC286467	gene	0	0
LOC338579	LOC338579	unmapped-none	LOC338579	LOC338579	gene	0	0
LOC338588	LOC338588	unmapped-none	LOC338588	LOC338588	gene	0	0
LOC338651	LOC338651	unmapped-none	LOC338651	LOC338651	gene	0	0
LOC338739	LOC338739	unmapped-none	LOC338739	LOC338739	gene	0	0
LOC338758	LOC338758	unmapped-none	LOC338758	LOC338758	gene	0	0
LOC338799	LOC338799	unmapped-none	LOC338799	LOC338799	gene	0	0
LOC338817	LOC338817	unmapped-none	LOC338817	LOC338817	gene	0	0
LOC338963	LOC338963	ENSG00000228141	LOC338963	LOC338963	gene	0	0
LOC339166	LOC339166	ENSG00000179314	LOC339166	LOC339166	gene	0	0
LOC339240	LOC339240	unmapped-none	LOC339240	LOC339240	gene	0	0
LOC339290	LOC339290	unmapped-none	LOC339290	LOC339290	gene	0	0
LOC339298	LOC339298	ENSG00000263547	LOC339298	LOC339298	gene	0	0
LOC339442	LOC339442	unmapped-none	LOC339442	LOC339442	gene	0	0
LOC339505	LOC339505	unmapped-none	LOC339505	LOC339505	gene	0	0
LOC339524	LOC339524	unmapped-none	LOC339524	LOC339524	gene	0	0
LOC339529	LOC339529	ENSG00000226828	LOC339529	LOC339529	gene	0	0
LOC339535	LOC339535	unmapped-none	LOC339535	LOC339535	gene	0	0
LOC339568	LOC339568	unmapped-none	LOC339568	LOC339568	gene	0	0
LOC339593	LOC339593	unmapped-none	LOC339593	LOC339593	gene	0	0
LOC339622	LOC339622	unmapped-none	LOC339622	LOC339622	gene	0	0
LOC339666	LOC339666	ENSG00000230736	LOC339666	LOC339666	gene	0	0
LOC339685	LOC339685	ENSG00000224715	LOC339685	LOC339685	gene	0	0
LOC339788	LOC339788	unmapped-none	LOC339788	LOC339788	gene	0	0
LOC339803	LOC339803	ENSG00000212978	LOC339803	LOC339803	gene	0	0
LOC339807	LOC339807	ENSG00000233694	LOC339807	LOC339807	gene	0	0
LOC339822	LOC339822	unmapped-none	LOC339822	LOC339822	gene	0	0
LOC339862	LOC339862	unmapped-none	LOC339862	LOC339862	gene	0	0
LOC339874	LOC339874	ENSG00000250608	LOC339874	LOC339874	gene	0	0
LOC339894	LOC339894	unmapped-none	LOC339894	LOC339894	gene	0	0
LOC339926	LOC339926	unmapped-none	LOC339926	LOC339926	gene	0	0
LOC339975	LOC339975	unmapped-none	LOC339975	LOC339975	gene	0	0
LOC340017	LOC340017	unmapped-none	LOC340017	LOC340017	gene	0	0
LOC340037	LOC340037	unmapped-none	LOC340037	LOC340037	gene	0	0
LOC340073	LOC340073	unmapped-none	LOC340073	LOC340073	gene	0	0
LOC340074	LOC340074	unmapped-none	LOC340074	LOC340074	gene	0	0
LOC340094	LOC340094	unmapped-none	LOC340094	LOC340094	gene	0	0
LOC340107	LOC340107	unmapped-none	LOC340107	LOC340107	gene	0	0
LOC340113	LOC340113	unmapped-none	LOC340113	LOC340113	gene	0	0
LOC340357	LOC340357	ENSG00000254813	LOC340357	LOC340357	gene	0	0
LOC340508	LOC340508	unmapped-none	LOC340508	LOC340508	gene	0	0
LOC340515	LOC340515	unmapped-none	LOC340515	LOC340515	gene	0	0
LOC340544	LOC340544	unmapped-none	LOC340544	LOC340544	gene	0	0
LOC341056	LOC341056	unmapped-none	LOC341056	LOC341056	gene	0	0
LOC344595	LOC344595	unmapped-none	LOC344595	LOC344595	gene	0	0
LOC344887	LOC344887	unmapped-none	LOC344887	LOC344887	gene	0	0
LOC344967	LOC344967	ENSG00000205794	LOC344967	LOC344967	gene	0	0
LOC347411	LOC347411	unmapped-none	LOC347411	LOC347411	gene	0	0
LOC348120	LOC348120	unmapped-none	LOC348120	LOC348120	gene	0	0
LOC348761	LOC348761	unmapped-none	LOC348761	LOC348761	gene	0	0
LOC349160	LOC349160	ENSG00000234352	LOC349160	LOC349160	gene	0	0
LOC349196	LOC349196	unmapped-none	LOC349196	LOC349196	gene	0	0
LOC374443	LOC374443	ENSG00000256594	LOC374443	LOC374443	gene	0	0
LOC375010	LOC375010	unmapped-none	LOC375010	LOC375010	gene	0	0
LOC375190	LOC375190	unmapped-none	LOC375190	LOC375190	gene	0	0
LOC375196	LOC375196	ENSG00000269210	LOC375196	LOC375196	gene	0	0
LOC375295	LOC375295	unmapped-none	LOC375295	LOC375295	gene	0	0
LOC386597	LOC386597	unmapped-none	LOC386597	LOC386597	gene	0	0
LOC386758	LOC386758	unmapped-none	LOC386758	LOC386758	gene	0	0
LOC387646	LOC387646	unmapped-none	LOC387646	LOC387646	gene	0	0
LOC387647	LOC387647	unmapped-none	LOC387647	LOC387647	gene	0	0
LOC387723	LOC387723	unmapped-none	LOC387723	LOC387723	gene	0	0
LOC387895	LOC387895	unmapped-none	LOC387895	LOC387895	gene	0	0
LOC388152	LOC388152	unmapped-none	LOC388152	LOC388152	gene	0	0
LOC388242	LOC388242	unmapped-none	LOC388242	LOC388242	gene	0	0
LOC388276	LOC388276	unmapped-none	LOC388276	LOC388276	gene	0	0
LOC388387	LOC388387	unmapped-none	LOC388387	LOC388387	gene	0	0
LOC388499	LOC388499	unmapped-none	LOC388499	LOC388499	gene	0	0
LOC388553	LOC388553	unmapped-none	LOC388553	LOC388553	gene	0	0
LOC388588	LOC388588	unmapped-none	LOC388588	LOC388588	gene	0	0
LOC388630	LOC388630	unmapped-none	LOC388630	LOC388630	gene	0	0
LOC388692	LOC388692	unmapped-none	LOC388692	LOC388692	gene	0	0
LOC388796	LOC388796	unmapped-none	LOC388796	LOC388796	gene	0	0
LOC388813	LOC388813	unmapped-none	LOC388813	LOC388813	gene	0	0
LOC388849	LOC388849	unmapped-none	LOC388849	LOC388849	gene	0	0
LOC388906	LOC388906	unmapped-none	LOC388906	LOC388906	gene	0	0
LOC388942	LOC388942	unmapped-none	LOC388942	LOC388942	gene	0	0
LOC388946	LOC388946	unmapped-none	LOC388946	LOC388946	gene	0	0
LOC388948	LOC388948	unmapped-none	LOC388948	LOC388948	gene	0	0
LOC389023	LOC389023	unmapped-none	LOC389023	LOC389023	gene	0	0
LOC389033	LOC389033	unmapped-none	LOC389033	LOC389033	gene	0	0
LOC389043	LOC389043	unmapped-none	LOC389043	LOC389043	gene	0	0
LOC389247	LOC389247	unmapped-none	LOC389247	LOC389247	gene	0	0
LOC389332	LOC389332	unmapped-none	LOC389332	LOC389332	gene	0	0
LOC389458	LOC389458	unmapped-none	LOC389458	LOC389458	gene	0	0
LOC389493	LOC389493	unmapped-none	LOC389493	LOC389493	gene	0	0
LOC389634	LOC389634	unmapped-none	LOC389634	LOC389634	gene	0	0
LOC389641	LOC389641	ENSG00000246582	LOC389641	LOC389641	gene	0	0
LOC389705	LOC389705	unmapped-none	LOC389705	LOC389705	gene	0	0
LOC389765	LOC389765	unmapped-none	LOC389765	LOC389765	gene	0	0
LOC389791	LOC389791	unmapped-none	LOC389791	LOC389791	gene	0	0
LOC389906	LOC389906	unmapped-none	LOC389906	LOC389906	gene	0	0
LOC390660	LOC390660	unmapped-none	LOC390660	LOC390660	gene	0	0
LOC390705	LOC390705	unmapped-none	LOC390705	LOC390705	gene	0	0
LOC390858	LOC390858	unmapped-none	LOC390858	LOC390858	gene	0	0
LOC390940	LOC390940	unmapped-none	LOC390940	LOC390940	gene	0	0
LOC391322	LOC391322	unmapped-none	LOC391322	LOC391322	gene	0	0
LOC392196	LOC392196	unmapped-none	LOC392196	LOC392196	gene	0	0
LOC392232	LOC392232	unmapped-none	LOC392232	LOC392232	gene	0	0
LOC392364	LOC392364	ENSG00000275756	LOC392364	LOC392364	gene	0	0
LOC399708	LOC399708	unmapped-none	LOC399708	LOC399708	gene	0	0
LOC399715	LOC399715	ENSG00000215244	LOC399715	LOC399715	gene	0	0
LOC399744	LOC399744	unmapped-none	LOC399744	LOC399744	gene	0	0
LOC399753	LOC399753	unmapped-none	LOC399753	LOC399753	gene	0	0
LOC399815	LOC399815	unmapped-none	LOC399815	LOC399815	gene	0	0
LOC399829	LOC399829	unmapped-none	LOC399829	LOC399829	gene	0	0
LOC399939	LOC399939	unmapped-none	LOC399939	LOC399939	gene	0	0
LOC399940	LOC399940	unmapped-none	LOC399940	LOC399940	gene	0	0
LOC400027	LOC400027	unmapped-none	LOC400027	LOC400027	gene	0	0
LOC400043	LOC400043	unmapped-none	LOC400043	LOC400043	gene	0	0
LOC400084	LOC400084	unmapped-none	LOC400084	LOC400084	gene	0	0
LOC400236	LOC400236	unmapped-none	LOC400236	LOC400236	gene	0	0
LOC400238	LOC400238	unmapped-none	LOC400238	LOC400238	gene	0	0
LOC400456	LOC400456	unmapped-none	LOC400456	LOC400456	gene	0	0
LOC400548	LOC400548	unmapped-none	LOC400548	LOC400548	gene	0	0
LOC400550	LOC400550	unmapped-none	LOC400550	LOC400550	gene	0	0
LOC400558	LOC400558	unmapped-none	LOC400558	LOC400558	gene	0	0
LOC400604	LOC400604	unmapped-none	LOC400604	LOC400604	gene	0	0
LOC400620	LOC400620	unmapped-none	LOC400620	LOC400620	gene	0	0
LOC400643	LOC400643	unmapped-none	LOC400643	LOC400643	gene	0	0
LOC400654	LOC400654	unmapped-none	LOC400654	LOC400654	gene	0	0
LOC400655	LOC400655	ENSG00000263711	LOC400655	LOC400655	gene	0	0
LOC400657	LOC400657	unmapped-none	LOC400657	LOC400657	gene	0	0
LOC400680	LOC400680	unmapped-none	LOC400680	LOC400680	gene	0	0
LOC400684	LOC400684	ENSG00000267213	LOC400684	LOC400684	gene	0	0
LOC400685	LOC400685	unmapped-none	LOC400685	LOC400685	gene	0	0
LOC400752	LOC400752	unmapped-none	LOC400752	LOC400752	gene	0	0
LOC400794	LOC400794	ENSG00000237463	LOC400794	LOC400794	gene	0	0
LOC400891	LOC400891	unmapped-none	LOC400891	LOC400891	gene	0	0
LOC400927	LOC400927	unmapped-none	LOC400927	LOC400927	gene	0	0
LOC400940	LOC400940	unmapped-none	LOC400940	LOC400940	gene	0	0
LOC400958	LOC400958	unmapped-none	LOC400958	LOC400958	gene	0	0
LOC401010	LOC401010	unmapped-none	LOC401010	LOC401010	gene	0	0
LOC401052	LOC401052	unmapped-none	LOC401052	LOC401052	gene	0	0
LOC401074	LOC401074	unmapped-none	LOC401074	LOC401074	gene	0	0
LOC401093	LOC401093	unmapped-none	LOC401093	LOC401093	gene	0	0
LOC401109	LOC401109	unmapped-none	LOC401109	LOC401109	gene	0	0
LOC401127	LOC401127	unmapped-none	LOC401127	LOC401127	gene	0	0
LOC401134	LOC401134	unmapped-none	LOC401134	LOC401134	gene	0	0
LOC401164	LOC401164	unmapped-none	LOC401164	LOC401164	gene	0	0
LOC401177	LOC401177	unmapped-none	LOC401177	LOC401177	gene	0	0
LOC401242	LOC401242	unmapped-none	LOC401242	LOC401242	gene	0	0
LOC401320	LOC401320	unmapped-none	LOC401320	LOC401320	gene	0	0
LOC401321	LOC401321	unmapped-none	LOC401321	LOC401321	gene	0	0
LOC401324	LOC401324	unmapped-none	LOC401324	LOC401324	gene	0	0
LOC401397	LOC401397	unmapped-none	LOC401397	LOC401397	gene	0	0
LOC401431	LOC401431	unmapped-none	LOC401431	LOC401431	gene	0	0
LOC401463	LOC401463	ENSG00000254102	LOC401463	LOC401463	gene	0	0
LOC401497	LOC401497	unmapped-none	LOC401497	LOC401497	gene	0	0
LOC401557	LOC401557	unmapped-none	LOC401557	LOC401557	gene	0	0
LOC401588	LOC401588	unmapped-none	LOC401588	LOC401588	gene	0	0
LOC401980	LOC401980	unmapped-none	LOC401980	LOC401980	gene	0	0
LOC402160	LOC402160	unmapped-none	LOC402160	LOC402160	gene	0	0
LOC402779	LOC402779	unmapped-none	LOC402779	LOC402779	gene	0	0
LOC407835	LOC407835	unmapped-none	LOC407835	LOC407835	gene	0	0
LOC415056	LOC415056	unmapped-none	LOC415056	LOC415056	gene	0	0
LOC439949	LOC439949	unmapped-none	LOC439949	LOC439949	gene	0	0
LOC439950	LOC439950	unmapped-none	LOC439950	LOC439950	gene	0	0
LOC439990	LOC439990	unmapped-none	LOC439990	LOC439990	gene	0	0
LOC439994	LOC439994	unmapped-none	LOC439994	LOC439994	gene	0	0
LOC440028	LOC440028	ENSG00000245522	LOC440028	LOC440028	gene	0	0
LOC440040	LOC440040	ENSG00000205035	LOC440040	LOC440040	gene	0	0
LOC440041	LOC440041	unmapped-none	LOC440041	LOC440041	gene	0	0
LOC440117	LOC440117	unmapped-none	LOC440117	LOC440117	gene	0	0
LOC440131	LOC440131	unmapped-none	LOC440131	LOC440131	gene	0	0
LOC440173	LOC440173	ENSG00000269994	LOC440173	LOC440173	gene	0	0
LOC440288	LOC440288	unmapped-none	LOC440288	LOC440288	gene	0	0
LOC440297	LOC440297	unmapped-none	LOC440297	LOC440297	gene	0	0
LOC440300	LOC440300	ENSG00000259295	LOC440300	LOC440300	gene	0	0
LOC440335	LOC440335	unmapped-none	LOC440335	LOC440335	gene	0	0
LOC440354	LOC440354	unmapped-none	LOC440354	LOC440354	gene	0	0
LOC440356	LOC440356	unmapped-none	LOC440356	LOC440356	gene	0	0
LOC440434	LOC440434	ENSG00000282641	LOC440434	LOC440434	gene	0	0
LOC440518	LOC440518	unmapped-none	LOC440518	LOC440518	gene	0	0
LOC440563	LOC440563	unmapped-none	LOC440563	LOC440563	gene	0	0
LOC440600	LOC440600	ENSG00000227963	LOC440600	LOC440600	gene	0	0
LOC440700	LOC440700	ENSG00000215838	LOC440700	LOC440700	gene	0	0
LOC440704	LOC440704	unmapped-none	LOC440704	LOC440704	gene	0	0
LOC440894	LOC440894	unmapped-none	LOC440894	LOC440894	gene	0	0
LOC440895	LOC440895	unmapped-none	LOC440895	LOC440895	gene	0	0
LOC440896	LOC440896	ENSG00000234394	LOC440896	LOC440896	gene	0	0
LOC440900	LOC440900	unmapped-none	LOC440900	LOC440900	gene	0	0
LOC440905	LOC440905	unmapped-none	LOC440905	LOC440905	gene	0	0
LOC440910	LOC440910	ENSG00000231431	LOC440910	LOC440910	gene	0	0
LOC440925	LOC440925	unmapped-none	LOC440925	LOC440925	gene	0	0
LOC440944	LOC440944	unmapped-none	LOC440944	LOC440944	gene	0	0
LOC440970	LOC440970	unmapped-none	LOC440970	LOC440970	gene	0	0
LOC441009	LOC441009	unmapped-none	LOC441009	LOC441009	gene	0	0
LOC441025	LOC441025	ENSG00000251383	LOC441025	LOC441025	gene	0	0
LOC441177	LOC441177	unmapped-none	LOC441177	LOC441177	gene	0	0
LOC441204	LOC441204	unmapped-none	LOC441204	LOC441204	gene	0	0
LOC441242	LOC441242	ENSG00000272693	LOC441242	LOC441242	gene	0	0
LOC441454	LOC441454	unmapped-none	LOC441454	LOC441454	gene	0	0
LOC441455	LOC441455	unmapped-none	LOC441455	LOC441455	gene	0	0
LOC441461	LOC441461	unmapped-none	LOC441461	LOC441461	gene	0	0
LOC441495	LOC441495	unmapped-none	LOC441495	LOC441495	gene	0	0
LOC441601	LOC441601	ENSG00000255042	LOC441601	LOC441601	gene	0	0
LOC441666	LOC441666	ENSG00000215146	LOC441666	LOC441666	gene	0	0
LOC442028	LOC442028	ENSG00000259848	LOC442028	LOC442028	gene	0	0
LOC442132	LOC442132	unmapped-none	LOC442132	LOC442132	gene	0	0
LOC442421	LOC442421	unmapped-none	LOC442421	LOC442421	gene	0	0
LOC442459	LOC442459	unmapped-none	LOC442459	LOC442459	gene	0	0
LOC442497	LOC442497	ENSG00000249574	LOC442497	LOC442497	gene	0	0
LOC493754	LOC493754	unmapped-none	LOC493754	LOC493754	gene	0	0
LOC494127	LOC494127	unmapped-none	LOC494127	LOC494127	gene	0	0
LOC494141	LOC494141	ENSG00000189332	LOC494141	LOC494141	gene	0	0
LOC494558	LOC494558	unmapped-none	LOC494558	LOC494558	gene	0	0
LOC503519	LOC503519	unmapped-none	LOC503519	LOC503519	gene	0	0
LOC541471	LOC541471	unmapped-none	LOC541471	LOC541471	gene	0	0
LOC541473	LOC541473	ENSG00000146722	LOC541473	LOC541473	gene	0	0
LOC550112	LOC550112	unmapped-none	LOC550112	LOC550112	gene	0	0
LOC550113	LOC550113	unmapped-none	LOC550113	LOC550113	gene	0	0
LOC550643	LOC550643	unmapped-none	LOC550643	LOC550643	gene	0	0
LOC553103	LOC553103	unmapped-none	LOC553103	LOC553103	gene	0	0
LOC554201	LOC554201	unmapped-none	LOC554201	LOC554201	gene	0	0
LOC554206	LOC554206	ENSG00000262587	LOC554206	LOC554206	gene	0	0
LOC554223	LOC554223	ENSG00000230238	LOC554223	LOC554223	gene	0	0
LOC572558	LOC572558	unmapped-none	LOC572558	LOC572558	gene	0	0
LOC574538	LOC574538	ENSG00000263137	LOC574538	LOC574538	gene	0	0
LOC595101	LOC595101	unmapped-none	LOC595101	LOC595101	gene	0	0
LOC606724	LOC606724	unmapped-none	LOC606724	LOC606724	gene	0	0
LOC613037	LOC613037	unmapped-none	LOC613037	LOC613037	gene	0	0
LOC613038	LOC613038	unmapped-none	LOC613038	LOC613038	gene	0	0
LOC619207	LOC619207	unmapped-none	LOC619207	LOC619207	gene	0	0
LOC63930	LOC63930	unmapped-none	LOC63930	LOC63930	gene	0	0
LOC641298	LOC641298	unmapped-none	LOC641298	LOC641298	gene	0	0
LOC641364	LOC641364	unmapped-none	LOC641364	LOC641364	gene	0	0
LOC641365	LOC641365	unmapped-none	LOC641365	LOC641365	gene	0	0
LOC641367	LOC641367	ENSG00000279280	LOC641367	LOC641367	gene	0	0
LOC641515	LOC641515	unmapped-none	LOC641515	LOC641515	gene	0	0
LOC641518	LOC641518	unmapped-none	LOC641518	LOC641518	gene	0	0
LOC641746	LOC641746	unmapped-none	LOC641746	LOC641746	gene	0	0
LOC642236	LOC642236	unmapped-none	LOC642236	LOC642236	gene	0	0
LOC642361	LOC642361	ENSG00000272447	LOC642361	LOC642361	gene	0	0
LOC642366	LOC642366	ENSG00000259663	LOC642366	LOC642366	gene	0	0
LOC642426	LOC642426	unmapped-none	LOC642426	LOC642426	gene	0	0
LOC642826	LOC642826	unmapped-none	LOC642826	LOC642826	gene	0	0
LOC642846	LOC642846	unmapped-none	LOC642846	LOC642846	gene	0	0
LOC642852	LOC642852	unmapped-none	LOC642852	LOC642852	gene	0	0
LOC642929	LOC642929	ENSG00000278849	LOC642929	LOC642929	gene	0	0
LOC643037	LOC643037	unmapped-none	LOC643037	LOC643037	gene	0	0
LOC643201	LOC643201	unmapped-none	LOC643201	LOC643201	gene	0	0
LOC643339	LOC643339	unmapped-none	LOC643339	LOC643339	gene	0	0
LOC643387	LOC643387	unmapped-none	LOC643387	LOC643387	gene	0	0
LOC643401	LOC643401	unmapped-none	LOC643401	LOC643401	gene	0	0
LOC643406	LOC643406	unmapped-none	LOC643406	LOC643406	gene	0	0
LOC643441	LOC643441	unmapped-none	LOC643441	LOC643441	gene	0	0
LOC643486	LOC643486	unmapped-none	LOC643486	LOC643486	gene	0	0
LOC643529	LOC643529	unmapped-none	LOC643529	LOC643529	gene	0	0
LOC643542	LOC643542	ENSG00000282112	LOC643542	LOC643542	gene	0	0
LOC643623	LOC643623	ENSG00000224506	LOC643623	LOC643623	gene	0	0
LOC643648	LOC643648	unmapped-none	LOC643648	LOC643648	gene	0	0
LOC643650	LOC643650	unmapped-none	LOC643650	LOC643650	gene	0	0
LOC643669	LOC643669	unmapped-none	LOC643669	LOC643669	gene	0	0
LOC643714	LOC643714	unmapped-none	LOC643714	LOC643714	gene	0	0
LOC643723	LOC643723	unmapped-none	LOC643723	LOC643723	gene	0	0
LOC643733	LOC643733	ENSG00000235505	LOC643733	LOC643733	gene	0	0
LOC643770	LOC643770	unmapped-none	LOC643770	LOC643770	gene	0	0
LOC643802	LOC643802	unmapped-none	LOC643802	LOC643802	gene	0	0
LOC643837	LOC643837	unmapped-none	LOC643837	LOC643837	gene	0	0
LOC643923	LOC643923	ENSG00000110675	LOC643923	LOC643923	gene	0	0
LOC643955	LOC643955	unmapped-none	LOC643955	LOC643955	gene	0	0
LOC644100	LOC644100	unmapped-none	LOC644100	LOC644100	gene	0	0
LOC644145	LOC644145	unmapped-none	LOC644145	LOC644145	gene	0	0
LOC644172	LOC644172	unmapped-none	LOC644172	LOC644172	gene	0	0
LOC644189	LOC644189	unmapped-none	LOC644189	LOC644189	gene	0	0
LOC644242	LOC644242	unmapped-none	LOC644242	LOC644242	gene	0	0
LOC644248	LOC644248	unmapped-none	LOC644248	LOC644248	gene	0	0
LOC644554	LOC644554	unmapped-none	LOC644554	LOC644554	gene	0	0
LOC644649	LOC644649	unmapped-none	LOC644649	LOC644649	gene	0	0
LOC644656	LOC644656	ENSG00000268403	LOC644656	LOC644656	gene	0	0
LOC644669	LOC644669	unmapped-none	LOC644669	LOC644669	gene	0	0
LOC644714	LOC644714	unmapped-none	LOC644714	LOC644714	gene	0	0
LOC644838	LOC644838	unmapped-none	LOC644838	LOC644838	gene	0	0
LOC644936	LOC644936	unmapped-none	LOC644936	LOC644936	gene	0	0
LOC644961	LOC644961	unmapped-none	LOC644961	LOC644961	gene	0	0
LOC644990	LOC644990	unmapped-none	LOC644990	LOC644990	gene	0	0
LOC645166	LOC645166	ENSG00000283196	LOC645166	LOC645166	gene	0	0
LOC645206	LOC645206	unmapped-none	LOC645206	LOC645206	gene	0	0
LOC645212	LOC645212	unmapped-none	LOC645212	LOC645212	gene	0	0
LOC645249	LOC645249	unmapped-none	LOC645249	LOC645249	gene	0	0
LOC645355	LOC645355	unmapped-none	LOC645355	LOC645355	gene	0	0
